"","logID","pasteID2","fightID","size","difficulty","tag_hmsize","first_mark_cast","2500/5000 dmg. (HM/NM)","Weighted(Beast=5)","Weighted(Beast=3)"
"4657","tR742wm3XnZpPjKv","tR742wm3XnZpPjKv4",4,25,"Hard","Heroic-25m",64.848,109.74,118,118
"4658","tR742wm3XnZpPjKv","tR742wm3XnZpPjKv5",5,25,"Hard","Heroic-25m",72.895,106.4196,136,136
"4659","tRgYGaCZxmyM7h39","tRgYGaCZxmyM7h3918",18,25,"Normal","Normal-25m",124.669,103.046,325,331
"4660","tV3C4WvFzXbdRAqm","tV3C4WvFzXbdRAqm15",15,10,"Hard","Heroic-10m",132.761,103.4672,109,113
"4661","tcrN2RqGJ6gbLHpf","tcrN2RqGJ6gbLHpf18",18,10,"Hard","Heroic-10m",90.678,118.2208,102,104
"4662","thCzjdrVK7m21qMN","thCzjdrVK7m21qMN7",7,10,"Hard","Heroic-10m",106.921,100.346,118,122
"4663","tjPxF923y6kzw8rC","tjPxF923y6kzw8rC12",12,10,"Hard","Heroic-10m",100.87,149.9908,161,174
"4664","tjPxF923y6kzw8rC","tjPxF923y6kzw8rC13",13,10,"Hard","Heroic-10m",100.323,125.5224,112,117
"4665","tjxLfdvXaPmTbk7h","tjxLfdvXaPmTbk7h21",21,10,"Hard","Heroic-10m",66.309,110.7416,98,109
"4666","tjxLfdvXaPmTbk7h","tjxLfdvXaPmTbk7h23",23,10,"Hard","Heroic-10m",93.83,98.58,107,110
"4667","tjxLfdvXaPmTbk7h","tjxLfdvXaPmTbk7h24",24,10,"Hard","Heroic-10m",114.926,102.8096,126,128
"4668","tjxLfdvXaPmTbk7h","tjxLfdvXaPmTbk7h25",25,10,"Hard","Heroic-10m",97.059,103.7624,102,102
"4669","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ21",1,25,"Hard","Heroic-25m",61.56,133.2688,135,148
"4670","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ22",2,25,"Hard","Heroic-25m",69.547,105.486,100,102
"4671","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ23",3,25,"Hard","Heroic-25m",85.907,107.722,118,118
"4672","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ24",4,25,"Hard","Heroic-25m",58.264,110.58,113,117
"4673","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ25",5,25,"Hard","Heroic-25m",72.806,110.0752,112,115
"4674","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ26",6,25,"Hard","Heroic-25m",69.644,108.7512,129,130
"4675","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ27",7,25,"Hard","Heroic-25m",82.564,109.0584,119,119
"4676","tnDRzrdx4BC1hvJ2","tnDRzrdx4BC1hvJ28",8,25,"Hard","Heroic-25m",69.963,103.8452,133,141
"4677","tqkMA6RWBj8DY4XJ","tqkMA6RWBj8DY4XJ12",12,25,"Hard","Heroic-25m",76.384,101.4852,127,127
"4678","tqkMA6RWBj8DY4XJ","tqkMA6RWBj8DY4XJ13",13,25,"Hard","Heroic-25m",68.194,96.0172,109,112
"4679","tqkMA6RWBj8DY4XJ","tqkMA6RWBj8DY4XJ4",4,25,"Hard","Heroic-25m",74.477,112.6012,120,122
"4680","tqkMA6RWBj8DY4XJ","tqkMA6RWBj8DY4XJ5",5,25,"Hard","Heroic-25m",69.675,100.0164,130,132
"4681","tqkMA6RWBj8DY4XJ","tqkMA6RWBj8DY4XJ9",9,25,"Hard","Heroic-25m",64.427,134.9768,146,148
"4682","trGkxKLPRWXCphJ8","trGkxKLPRWXCphJ810",10,10,"Hard","Heroic-10m",124.653,103.9068,123,125
"4683","trGkxKLPRWXCphJ8","trGkxKLPRWXCphJ88",8,10,"Normal","Normal-10m",136.134,102.3284,137,140
"4684","tvQ9YGfR2NAqWwgn","tvQ9YGfR2NAqWwgn12",12,10,"Hard","Heroic-10m",87.794,95.254,88,91
"4685","tvQ9YGfR2NAqWwgn","tvQ9YGfR2NAqWwgn13",13,10,"Hard","Heroic-10m",103.98,100.9468,94,95
"4686","tvQ9YGfR2NAqWwgn","tvQ9YGfR2NAqWwgn14",14,10,"Hard","Heroic-10m",111.716,162.3312,113,113
"4687","tvgL9RH4nF3XrYab","tvgL9RH4nF3XrYab27",27,25,"Hard","Heroic-25m",58.327,119.0964,217,244
"4688","tvgL9RH4nF3XrYab","tvgL9RH4nF3XrYab28",28,25,"Hard","Heroic-25m",61.575,123.5384,193,211
"4689","tvgL9RH4nF3XrYab","tvgL9RH4nF3XrYab29",29,25,"Hard","Heroic-25m",58.755,108.9364,199,221
"4690","tvgL9RH4nF3XrYab","tvgL9RH4nF3XrYab34",34,25,"Hard","Heroic-25m",58.395,103.5432,177,191
"4691","tvjbF8fmqVRH4ZzY","tvjbF8fmqVRH4ZzY6",6,10,"Hard","Heroic-10m",103.602,103.984,102,104
"4692","tvjbF8fmqVRH4ZzY","tvjbF8fmqVRH4ZzY9",9,10,"Hard","Heroic-10m",126.69,101.5104,101,101
"4693","twCKRNzg1dJXMb8k","twCKRNzg1dJXMb8k10",10,25,"Normal","Normal-25m",100.318,103.6744,375,414
"4694","twbX9M8hLTNxayWr","twbX9M8hLTNxayWr18",18,10,"Hard","Heroic-10m",111.723,108.044,107,113
"4695","twbX9M8hLTNxayWr","twbX9M8hLTNxayWr19",19,10,"Hard","Heroic-10m",111.67,106.2504,83,85
"4696","twbX9M8hLTNxayWr","twbX9M8hLTNxayWr20",20,10,"Hard","Heroic-10m",150.609,102.3608,108,108
"4697","twbX9M8hLTNxayWr","twbX9M8hLTNxayWr21",21,10,"Hard","Heroic-10m",148.905,102.3288,124,127
